2,2,Tracy2,Thomas2,Tracy2@nmit.com,Femal,zaq2,353301719,2403,4806 Bridge Nelson,50463 Tahunanui Nelson,36,792,95,697,Accessibility,B2403K2403,2,2403,2017-10-12 02:33:14.000,2017-10-12 02:45:14.000,12,5,City Bank,12985,2403,12985,Palmerston North,I12985A12985,Ford,Accessibility,F12985I12985P12985K1,Yes,68 Grey
3,3,John3,Dong3,John3@gmail.com,Males,1233,914449384,9173,18346 Bridge Nelson,192633 Tahunanui Nelson,36,792,95,697,Accessibility,B9173K9173,3,9173,2017-10-22 00:16:43.000,2017-10-22 00:28:43.000,12,5,City Bank,17450,9173,17450,Auckland,I17450A17450,Mazda,Accessibility,F17450I17450P17450K1,Yes,193 Third Ave
4,4,John4,Dong4,John4@gmail.com,Males,1234,303334590,1796,5388 Colway Wellington,35920 Standen Wellington,32,704,70,634,Premium,A1796K1796,4,1796,2016-04-20 22:28:43.000,2016-04-20 23:28:43.000,60,3,Cash,12636,1796,12636,Rotorua,I12636K12636,Lexus,Premium,S12636Q12636D12636G1,No,11 Hona
5,5,Tom5,Thomson5,Tom5@gmail.com,Males,4565,687487611,5713,17139 Colway Wellington,114260 Standen Wellington,32,704,70,634,Premium,A5713K5713,5,5713,2016-05-29 14:01:12.000,2016-05-29 14:25:12.000,24,4,ANZ,14995,5713,14995,Gisborne,I14995K14995,Honda,Premium,S14995Q14995D14995G1,Yes,11 Kowhai
5,5,Tom5,Thomson5,Tom5@gmail.com,Males,4565,687487611,9440,56640 Third Ave Auckland,198240 ValleyAuckland,17,374,19,355,Economy,None,5,9440,2016-06-06 06:08:25.000,2016-06-06 06:29:25.000,21,4,Kiwi Bank,15728,9440,15728,Tauranga,None,Audi,Economy,I15728K15728Q15728K1,Yes,92 Village Park
6,6,Tracy6,Thomas6,Tracy6@nmit.com,Femal,zaq6,249446702,9220,18440 Bridge Nelson,193620 Tahunanui Nelson,36,792,95,697,Accessibility,B9220K9220,6,9220,2017-05-07 15:40:06.000,2017-05-07 16:28:06.000,48,1,Kiwi Bank,14464,9220,14464,Tauranga,I14464A14464,Audi,Accessibility,F14464I14464P14464K1,Yes,85 Village Park
6,6,Tracy6,Thomas6,Tracy6@nmit.com,Femal,zaq6,249446702,305,1525 Worthy Christchurch,6100 Kotare Christchurch,60,1320,198,1122,Carpool,C305K305,6,305,2018-03-10 11:15:41.000,2018-03-10 12:18:41.000,63,4,ASB,14234,305,14234,Palmerston North,I14234C14234,Ford,Carpool,X14234F14234A14234K1,Yes,74 Grey
8,8,Bella8,Smith8,Bella8@yahoo.com,Males,asd8,946562886,3185,9555 Colway Wellington,63700 Standen Wellington,32,704,70,634,Premium,A3185K3185,8,3185,2016-09-07 18:35:22.000,2016-09-07 18:41:22.000,6,5,Other,13474,3185,13474,Rotorua,I13474K13474,Lexus,Premium,S13474Q13474D13474G1,No,12 Hona
8,8,Bella8,Smith8,Bella8@yahoo.com,Males,asd8,946562886,4550,9100 Bridge Nelson,95550 Tahunanui Nelson,36,792,95,697,Accessibility,B4550K4550,8,4550,2016-02-18 16:57:47.000,2016-02-18 17:33:47.000,36,2,Other,13324,4550,13324,Nelson,I13324A13324,Misubishi,Accessibility,F13324I13324P13324K1,No,10 Bridge
8,8,Bella8,Smith8,Bella8@yahoo.com,Males,asd8,946562886,8816,52896 Third Ave Auckland,185136 ValleyAuckland,17,374,19,355,Economy,None,8,8816,2017-12-12 10:39:51.000,2017-12-12 10:42:51.000,3,3,Other,14352,8816,14352,Nelson,None,Misubishi,Economy,I14352K14352Q14352K1,Yes,11 Bridge
